full_text,jenis_cyberbullying,is_bullying,clean,target
@kiwathor @livngn Bukan gen alpha yg kritis tpi pengajarnya yang kurang pengetahuan agama Waktu SD juga pernah ada pertanyaan kek gini Kualitas guru skrng tuh downgrade guru dulu tuh lebih suka membaca dibandingkan guru skrng,penghinaan,1,bukan gen alpha yg kritis tpi ajar kurang tahu agama waktu sd pernah tanya kek gin kualitas guru skrng tuh downgrade guru dulu tuh lebih suka baca banding guru skrng,tidak_diketahui
Bahkan ibadahnya bocil aja diurusin siapa lagi kalau bukan WNI si paling paham agama 24/7 online bukannya tambah berpengetahuan malah downgrade pemikiriannya Eid Mubarak all mooters https://t.co/n5ddZnUGIR,sara,1,bahkan ibadah bocil aja diurusin siapa kalau bukan wni si paling paham agama online bukan tambah tahu malah downgrade pemikiriannya eid mubarak all mooters,tidak_diketahui
Intinya mah kalo ketemu laki-laki yg sekufu dan valuenya sama pasti perempuan milih nikah kok. Di agama aja cari pasangan itu jg mesti hati-hati ga boleh downgrade dlm hal ilmu agamanya terutama.,sara,1,inti mah kalo ketemu laki laki yg kufu valuenya sama perempuan milih nikah kok agama aja cari pasang jg mesti hati hati ga downgrade dlm ilmu agama utama,tidak_diketahui
@iman_manul @Partono_ADjem Karena ganteng tinggi besar TNI gagah. Alah kelen minang versi downgrade cuma bisa mandanh fisik plus mabok agama doang. Beda ama minang versi founding fathers.,sara,1,ganteng tinggi besar tni gagah alah kelen mang versi downgrade cuma mandanh fisik plus mabok agama doang beda ama mang versi founding fathers,tidak_diketahui
@saxuSAS Sekolah gue berbau agama-agama gitu takutnya nanti jadi aib dan downgrade mengingat cukup terkenal,bukan cyberbullying,0,sekolah gue bau agama agama gitu takut jadi aib downgrade ingat cukup kenal,diri_sendiri
Kalau ada org bukan islam downgrade islam umat islam xyah duk kalut triggered. Org islam sendiri xsensitive dgn agama sendiri.,sara,1,kalau org bukan islam downgrade islam umat islam xyah duk kalut triggered org islam sendiri xsensitive dgn agama sendiri,tidak_diketahui
@tak_bertuah @hereticmalay Eh ckap dkat agama sendiri ke? Ko kata tuhan xleh jadi manusia dh sah la muslim downgrade kekuasaan dia jdi manusia tu kehendak dia nak bantu umat manusia and also part of Dia punya plan ko nk melawan ke kehendak tuhan?...so who,sara,1,eh ckap dkat agama sendiri ko kata tuhan xleh jadi manusia dh sah la muslim downgrade kuasa jdi manusia tu hendak nak bantu umat manusia and also part of punya plan ko nk lawan hendak tuhan so who,tidak_diketahui
@iphone7decoco @mx00711 @36Dpib12339 @LWidhiatmoko @BramantyaNigel @spektrumku @kevhunt_13 @Kappa_2023 @agama_nusantara @BayuAngora @PaijoKhentirr @sakkusaitna @Valhallaah @bnsphrxyzzz @RefublikAteis @drhthariq @ilhampurnama887 @jonnypengacara @filosofiks,sara,1,,tidak_diketahui
@ilhampid Semakin kesini semakin downgrade dah mulai dari diri sendiri aja dah. Karena agama sesuai apa yang diamalkan.,sara,1,makin kesini makin downgrade dah mulai diri sendiri aja dah agama sesuai apa amal,tidak_diketahui
jaman dulu gelud krn beda agama skg gelud krn beda pilihan politik. downgrade bgt,penghinaan,1,jaman dulu gelud krn beda agama skg gelud krn beda pilih politik downgrade bgt,tidak_diketahui
kan gue bilang apa kl nikah jangan downgrade WKWKWK toh agama jg udah ngasih tau nikah sama yang setara aduhhHHh,sara,1,kan gue bilang apa kl nikah jangan downgrade wkwkwk agama jg udah ngasih tau nikah sama tara aduhhhhh,diri_sendiri
bunuh perempuan=lelaki bunuh lelaki=lelaki rogol perempuan=lelaki rogol lelaki=lelaki domestic violence=lelaki tetiba perempuan emosi and lelaki terpaling guna logic.Bfr jangan lah downgrade diri sendiri sebabkan agama ni 2025 https://t.co/1rUMHeM0Ob,sara,1,bunuh perempuan lelaki bunuh lelaki lelaki rogol perempuan lelaki rogol lelaki lelaki domestic violence lelaki tetiba perempuan emosi and lelaki paling logic bfr jangan lah downgrade diri sendiri sebab agama ni,tidak_diketahui
@jalalpenoo @LOLsusaho Sekolah agama ajar benci kapir. Downgrade kapir. Hina kapir.,sara,1,sekolah agama ajar benci kapir downgrade kapir hina kapir,tidak_diketahui
@amvanhuizen downgrade who? tak faham DAP mmg penyibuk! ada tak org Islam sibuk pasal agama lain nak buat apa..?? Geng Kristian yg sebar depa Duta Tuhan kita umat Islam boleh buat apa?? boleh ambil tindakan ke? Tak jugak kan.,sara,1,downgrade who tak faham dap mmg sibuk tak org islam sibuk pasal agama nak buat apa geng kristian yg sebar depa duta tuhan umat islam buat apa ambil tindak tak jugak kan,tidak_diketahui
@_HakimGaris @Tonaaiiii lah ga kebalik ya wkwkwk yg kemaren mukulin oranh disabilitas upgrade berarti ya ga downgrade ngebelain ketum udah kaya ngebelain agama su su,sara,1,lah ga balik wkwkwk yg kemaren mukulin oranh disabilitas upgrade arti ga downgrade ngebelain tum udah kaya ngebelain agama su su,tidak_diketahui
@fitrah_070785 @EasternVoices Mayoritas selalu benar ?? Ngak tuh... kalau palestina ngak playing victim dan bawa2 agama hehehe.. Amerik sudah downgrade? Kog banyak negara ketarketir ketika Trump jadi presiden. Analisa mu IQ50 cupu banget deh level nya ,sara,1,mayoritas selalu benar ngak tuh kalau palestina ngak playing victim bawa agama hehehe amerik downgrade kog banyak negara ketarketir trump jadi presiden analisa mu iq cupu banget deh level nya,tidak_diketahui
Entah kenapa kata2 nikah itu downgrade aku bisa relate bgt wkwk Enggak bukan krna aku gk sayang bojo ku tapi terlalu byk hal yg perlu ku korbankan n turunkan standar nya hanya krna aku istri orang itu msh dr segi istri blm lagi kalau uda bawa embel2 agama blm lg krna org indo,sara,1,entah kata nikah downgrade aku relate bgt wkwk enggak bukan krna aku gk sayang bojo ku terlalu byk yg perlu ku korban n turun standar nya krna aku istri orang msh dr segi istri blm kalau uda bawa embel agama blm lg krna org indo,diri_sendiri
@CutSarina5 Gas gus gas guss bisnis jual agama gini kok laku banget Downgrade umat kalo gini caranya sih,sara,1,gas gus gas guss bisnis jual agama gin kok laku banget downgrade umat kalo gin cara sih,tidak_diketahui
@Apokrifa23 @AlgenoaXaveriuz @PaijoKhentirr @kadrunmampos @Valhallaah @agama_nusantara @jonnypengacara @bnsphrxyzzz @Narasi_winda @rudysirwi @RefublikAteis @Matahari_tmr Bagaimana mendingannya? Downgrade bagaimana yg gak ada apa2 bicara grade aduh dek bic,penghinaan,1,bagaimana mending downgrade bagaimana yg gak apa bicara grade aduh dek bic,tidak_diketahui
@ningningjimin indo nanya agama. amerika malah ikut2an nanya gender. what a downgrade,sara,1,indo nanya agama amerika malah ikut an nanya gender what a downgrade,tidak_diketahui
Tak salah nak ajar kids lebih lagi pasal agama tapi tolong ajar sekali diorang to be humble. Kadang tengok budak budak kecik ni dah rasa terpaling betul sebab diorang banyak belajar agama and sampai nak downgrade orang lain,sara,1,tak salah nak ajar kids lebih pasal agama ajar sekali orang to be humble kadang tengok budak budak kecik ni dah rasa paling betul orang banyak ajar agama and nak downgrade orang,tidak_diketahui
udah mah downgrade beda agama ga dapet restu orang tua otak dipakeeee tolol,sara,1,udah mah downgrade beda agama ga dapet restu orang tua otak dipakeeee tolol,tidak_diketahui
@tanyarlfes Tiba-tiba hts an :) nggak downgrade si kalo dibanding yang dulu tapi ya hts sama cowok mix Arab sedangkan aku se jawa pure blood ini. Ngarep ape? udah kek hubungan beda agama,sara,1,tiba tiba hts an downgrade si kalo banding dulu hts sama cowok mix arab aku se jawa pure blood ngarep ape udah kek hubung beda agama,diri_sendiri
Betul nak post kena izin suami. But mulut kau pun nak belanja ex? Nanti jadi bapak mulut jgn mcm tu. Jgn dok downgrade bini depan anak. Jangan tegur isteri depan anak depan family members lain apatah lg post. Belajar dlu agama bagi betul baru guna kuasa suami.,sara,1,betul nak post kena izin suami but mulut kau nak belanja ex jadi bapak mulut jgn mcm tu jgn dok downgrade bini depan anak jangan tegur isteri depan anak depan family members apatah lg post ajar dlu agama betul baru kuasa suami,tidak_diketahui
Kabar laki laki sudah beristri selingkuh sama perempuan downgrade dari istri sah dah merajalela taik dah cari apa sih taik idup cuma sekali buat apa cari masalah. Laki laki berpendidikan bagus paham agama jelek tetep aja banyak yang selingkuh.,sara,1,kabar laki laki istri selingkuh sama perempuan downgrade istri sah dah rajalela taik dah cari apa sih taik idup cuma sekali buat apa cari masalah laki laki didik bagus paham agama jelek tetep aja banyak selingkuh,tidak_diketahui
Eh tak faham la manusia yg pertikai cara hidup orang ni. Dia nak upgrade ke downgrade ke lantak dia la. Nak sibuk bahas hidup orang kenapa? Kalau bab agama tu faham la kalau ada yang nak berbahas pendapat ke mazhab ke. Annoying nak mampos ye.,kata kasar,1,eh tak faham la manusia yg tikai cara hidup orang ni nak upgrade downgrade lantak la nak sibuk bahas hidup orang kalau bab agama tu faham la kalau nak bahas dapat mazhab annoying nak mampos ye,tidak_diketahui
@Birbvisitor1 @rickylaw @mharithanuar @Cukifdesu girl islam kata perempuan kurang akal perempuan mandul dislike dikahwini takle memimpin kesaksian two women equal to one men and ada hadis yg samakan pp dgn anjing.semua abrahamic religion (Judaism Christia,sara,1,girl islam kata perempuan kurang akal perempuan mandul dislike dikahwini takle pimpin saksi two women equal to one men and hadis yg sama pp dgn anjing semua abrahamic religion judaism christia,tidak_diketahui
@zarazorozuru @xmnhzkrx lelaki mana ada iddah awak.tbh saya tk rasa agama berat sebelah sbb iddah tapi tkle dinafikan banyak undang2 yg berat sebelah and downgrade women.kalau saya bagi sebab kenapa saya rasa agama berat sebelah awak akan dengar tak?,sara,1,lelaki mana iddah awak tbh saya tk rasa agama berat belah sbb iddah tkle nafi banyak undang yg berat belah and downgrade women kalau saya saya rasa agama berat belah awak dengar tak,diri_sendiri
 downgrade dari aku yang dulu. rollercoaster tahun ini lebih dahsyat ketimbang rollercoaster tahun lalu. mana ini aku ada gebrakan baru di akhir tahun: pcrn beda agama pula wkwk.... that's so.... so.... challenging... tapi makin lama aku juga makin BUTUH sama me time wkwk,sara,1,downgrade aku dulu rollercoaster tahun lebih dahsyat ketimbang rollercoaster tahun lalu mana aku gebrak baru akhir tahun pcrn beda agama wkwk that s so so challenging makin lama aku makin butuh sama me time wkwk,diri_sendiri
disgusting do sumpah. majlis ilmu tapi yang bagi ceramah pun tunggang agama downgrade orang lain.,sara,1,disgusting do sumpah majlis ilmu ceramah tunggang agama downgrade orang,tidak_diketahui
Sedihnya tengok video pakcik yang jual es teh dekat indonesia tu Tak kisah la kau ilmuwan agama pun tapi u don t have to downgrade people like that.,sara,1,sedih tengok video pakcik jual es teh dekat indonesia tu tak kisah la kau ilmuwan agama u don t have to downgrade people like that,tidak_diketahui
Rendah banget ya sebagian selera tokoh agama orang indo wkwkwk sekelas miftah downgrade sampe dijuluki gus,sara,1,rendah banget bagi selera tokoh agama orang indo wkwkwk kelas miftah downgrade sampe juluk gus,tidak_diketahui
@nzrlhakimi @decks_dark @syahir_17 @ZacZakirin13 and now hg pulak yang downgrade orang lain padahal hg tak kenal kami siapa . kami pun ada kelayakan dan kemampuan untuk bercakap tentang agama tapi takdelah sampai nak merendahkan orang. akhlak perlu dijaga,sara,1,and now hg pulak downgrade orang padahal hg tak kenal siapa layak mampu cakap agama takdelah nak rendah orang akhlak perlu jaga,tidak_diketahui
@mx00711 @agama_nusantara @sakkusaitna @BayuAngora @PaijoKhentirr @Valhallaah @spektrumku @Kappa_2023 @bnsphrxyzzz @RefublikAteis Tau donk Partai mana yg downgrade @KPK_RI dgn RUU KPK? Tau donk Partai mana yg paling banyak terjerat kasus .K.O.R.U.P.S.I.? ,penghinaan,1,tau donk partai mana yg downgrade dgn ruu kpk tau donk partai mana yg paling banyak jerat kasus k o r u p s i,tidak_diketahui
@karimnas_ Sebagai agama yg lahir paling bontot Islam itu harusnya ajarannya bisa lbh upgrade lagi drpd Kristen. Tapi ini mah yg ada bukannya upgrade tapi malah downgrade. Aturan2 agama Yahudi yg gak manusiawi yg udah dibuang sama Kristen malah dipungut l,sara,1,agama yg lahir paling bontot islam harus ajar lbh upgrade drpd kristen mah yg bukan upgrade malah downgrade atur agama yahudi yg gak manusiawi yg udah buang sama kristen malah pungut l,tidak_diketahui
Kdrama yg penuh dgn kissing scenes je aku menyampah nak tengok ini pulak lagi kau bawa nama agama/tudung dlm scenes lucah aka soft porn movie korang tu. Dia punya effort nak downgrade kan nilai dosa lucah scenes (explicit) tu sgt menakjubkan.,sara,1,kdrama yg penuh dgn kissing scenes je aku sampah nak tengok pulak kau bawa nama agama tudung dlm scenes lucah aka soft porn movie korang tu punya effort nak downgrade kan nilai dosa lucah scenes explicit tu sgt takjub,diri_sendiri
@Rizieq_Sangean Elu goreng dan kaitkanlah sesuka elu dg agama tertentu itukan cara2 elu krn takut bersaing dg agama lain... agama yg sering elu downgrade semakin diminati tuh...,sara,1,elu goreng kait suka elu dg agama tentu itu cara elu krn takut saing dg agama agama yg sering elu downgrade makin mati tuh,tidak_diketahui
Buzzer Banteng sekarang sudah downgrade jd selevel kadrun memainkan isu penistaan agama. Ditinggal Jokowi membuat pola kampanye Banteng jd downgrade jauh menjurus hina.,sara,1,buzzer banteng sekarang downgrade jd level kadrun main isu nista agama tinggal jokowi buat pola kampanye banteng jd downgrade jauh jurus hina,tidak_diketahui
Melihat kualitas buzzer PDIP sekarang yg bahkan memainkan kartu penistaan agama seperti kadrun di 2017 tuh ngenes. Downgrade banget kualitasnya dibandingkan ketika masih dukung Jokowi. Ga heran pas pilpres narasi mereka sekelas berita gosip ga jelas. Hasil 16% ya ga aneh.,sara,1,lihat kualitas buzzer pdip sekarang yg bahkan main kartu nista agama kadrun tuh ngenes downgrade banget kualitas banding dukung jokowi ga heran pas pilpres narasi kelas berita gosip ga jelas hasil ga aneh,tidak_diketahui
@KamusKecil01 Kaum pelangi kan emang mau downgrade agama. Mau caranya busuk jg emang mereka peduli? ,sara,1,kaum pelangi kan emang mau downgrade agama mau cara busuk jg emang peduli,tidak_diketahui
@yeopddenly Yang demen sama gue beda agama dan downgrade sialan,sara,1,demen sama gue beda agama downgrade sial,diri_sendiri
@andywindarto Tambahan lagi ide kocak Cawagub lu. Yang kayak gini2 mendingan suruh jadi penyuluh agama aja. Jangan jadi Cawagub. Downgrade. https://t.co/SSv1qeeZwC,penghinaan,1,tambah ide kocak cawagub lu kayak gin mending suruh jadi suluh agama aja jangan jadi cawagub downgrade,tidak_diketahui
Bismillah sebenernya 30% ada kok dari orang mentri ini yg menurutku capable. yg menurutku cukup ok: - Mentri Agama : Imam besar masjid istiqlal - Mentri Tenaga kerja : Cak imin - Menkeu : Ibu sri mulyani sisanya? ndak kenal wkwk apalagi di bagian menlu jadi downgrade huhu,sara,1,bismillah sebenernya kok orang tri yg turut capable yg turut cukup tri agama imam besar masjid istiqlal tri tenaga kerja cak imin menkeu ibu sri mulyani sisa ndak kenal wkwk bagi menlu jadi downgrade huhu,tidak_diketahui
@tanyarlfes Namun untuk membuat anak orang bahagia atau setidaknya menyamakan kehidupan sebelum perempuan menikah (dengan orang tua). Kalau di downgrade ya jelas lah cuma mau enaknua doang itu laki-laki. Biasanya bawa-bawa agama/kata syukur biar si istri ,sara,1,buat anak orang bahagia sama hidup perempuan meni orang tua kalau downgrade jelas lah cuma mau enaknua doang laki laki biasa bawa bawa agama kata syukur biar si istri,tidak_diketahui
@AdjieSanPutro Konon negara religius hanya konon katanya. Agama hanya di ritusnya aja itu pun sekedar menjalankan. Indonesia memang darurat pendidikan teknologi Yang masif hadir tidak dibarengi kualitas usernya justru malah makin downgrade. Sedih,sara,1,konon negara religius konon kata agama ritus aja dar jalan indonesia memang darurat didik teknologi masif hadir bareng kualitas usernya justru malah makin downgrade sedih,tidak_diketahui
@syxsyxno @retakka_biru @zierahatta @meinmokhtar Dah tahu dah sapa jd suami dia. Harap kental. Berkira sangat berkira. Compare kereta semua mewah kalau mampu kenapa nk downgrade. Duit atas ihsan berkira. Tuntut semua tuntut. Dah bagi yg wajib tapi nak ber,penghinaan,1,dah tahu dah sapa jd suami harap kental kira sangat kira compare kereta semua mewah kalau mampu nk downgrade duit atas ihsan kira tuntut semua tuntut dah yg wajib nak ber,tidak_diketahui
Terus mereka yg dari awal ga pake hijab ga ngerasa buruk? Kok bisa bilang orang yg habis putus terus lepas hijab itu downgrade / jauh dari Allah. Orang yang aslinya ngerti agama dan empati dia ga akan langsung judge orang lain begitu..,sara,1,terus yg awal ga pake hijab ga ngerasa buruk kok bilang orang yg habis putus terus lepas hijab downgrade jauh allah orang asli ngerti agama empati ga langsung judge orang,tidak_diketahui
Cut Nyak Dien Siti Oetari itu bukan kawin ama nabi tapi kawin ama manusia biasa justru ini yang ngakunya nabi and mulia masa malah moralitasnya downgrade ke ranah yg memalukan? Terus byk yg denial seolah figur nabi itu ga pernah salah ini jadi mirip kultus daripada agama,sara,1,cut nyak dien siti oetari bukan kawin ama nabi kawin ama manusia biasa justru ngakunya nabi and mulia masa malah moralitas downgrade ranah yg malu terus byk yg denial figur nabi ga pernah salah jadi mirip kultus agama,tidak_diketahui
@Manusiaa0_ @horizonyield Anjir sama gua disuruh minta ttd imam setiap gua sholat selama sebulan. Padahal sebelumnya gua smp sampe sma sekolah di madrasah tsanawiyah-aliyah malah berasa downgrade ilmu agama gua wkwkwkw,sara,1,anjir sama gua suruh minta ttd imam gua sholat lama bulan padahal belum gua smp sampe sma sekolah madrasah tsanawiyah aliyah malah asa downgrade ilmu agama gua wkwkwkw,diri_sendiri
tkde salah pn org nak tnya blajar agama ni bukn stakat singgan sekolah je.. klau kau msih ingat then good for u. But dont downgrade others.,sara,1,tkde salah pn org nak tnya blajar agama ni bukn stakat singgan sekolah je klau kau msih ingat then good for u but dont downgrade others,tidak_diketahui
@iswnyismail_ @hhhhwafi Apahal tiba nak halalkan dating berduaan kalau dah tahu haram? @iswnyismail_ nk sembang downgrade laki ni sbb dia sembabg kerja freelance dia tak terjamin padahal ada kerja tetap pun tak menjamin apa2 ini kau sendiri nk sembang pas,sara,1,apahal tiba nak halal dating dua kalau dah tahu haram nk sembang downgrade laki ni sbb sembabg kerja freelance tak jamin padahal kerja tetap tak jamin apa kau sendiri nk sembang pas,tidak_diketahui
It's such a downgrade. From Bung Hatta BJ Habibie JK Boediono KH Ma'ruf Amin to gibs. Wapres dulu punya rekam jejak yg oke mulai teknokrat ekonom tokoh agama. Perlu waktu buat di titik itu. Smntara gib enteng bener di olso jg blm beres trs jd wapres. Asuuuu,penghinaan,1,it s such a downgrade from bung hatta bj habibie jk boediono kh ma ruf amin to gibs wapres dulu punya rekam jejak yg oke mulai teknokrat ekonom tokoh agama perlu waktu buat titik smntara gib enteng bener olso jg blm beres trs jd wapres asuuuu,tidak_diketahui
Malu ga si pernah punya presiden kayak Gusdur yg mengakui 5 agama di Indonesia trus downgrade punya presiden kaya joko yg ngasih demokrasi aja engga,sara,1,malu ga si pernah punya presiden kayak gusdur yg aku agama indonesia trus downgrade punya presiden kaya joko yg ngasih demokrasi aja engga,tidak_diketahui
@rottenalpha17 @sembilanpuluh62 @JhonSitorus_18 komen yg atas dah bagus2 perspektif dari pihak yg kontra anies ini malah nyangkut2in agama akwkwk downgrade sat,sara,1,komen yg atas dah bagus perspektif pihak yg kontra anies malah nyangkut in agama akwkwk downgrade sat,tidak_diketahui
@ilhampurnama887 katanya agama islam agama penyempurna agama terdahulu padahal di agama2 terdahulu ga ada benci hewan itu sama saja downgrade bukannya upgrade!!! EMANG MAUNYA ANJING LIURNYA BERNAJIS???,sara,1,kata agama islam agama sempurna agama dahulu padahal agama dahulu ga benci hewan sama downgrade bukan upgrade emang mau anjing liur najis,tidak_diketahui
Sebelum menang bawa bawa agama buat jualan sampe gandeng gol tertentu. Sekarang dilarang larang itu pake kerudung sangat downgrade. Ibarat windows ini balik ke windows 2000.,sara,1,menang bawa bawa agama buat jual sampe gandeng gol tentu sekarang larang larang pake kerudung sangat downgrade ibarat windows balik windows,tidak_diketahui
@ekstasis_crane @MireinaRiviere Gak mungkin negara Modern tiba tiba Nerapin Jizyah orang Pajak biasa aja udah lebih gede ngapain downgrade. Hukuman Mati Orang Murtad Larangan Zina dan LGBT hampir semua Agama ada. Dan Pengorbanan Manusia? di islam gak ada ,sara,1,gak mungkin negara modern tiba tiba nerapin jizyah orang pajak biasa aja udah lebih gede ngapain downgrade hukum mati orang murtad larang zina lgbt hampir semua agama korban manusia islam gak,tidak_diketahui
@ImnAdrn tak payah tunggu cita pasal rules institusi kena cita di mana hilang nilai Islam dalam kalangan pelajar bukan semata duduk dalam kolej Islam? Benda UIA sendiri dah lama downgrade environment dia bukan kena tunggu sekolompok org yg benar jaga maru,sara,1,tak payah tunggu cita pasal rules institusi kena cita mana hilang nilai islam kalang ajar bukan semata duduk kolej islam benda uia sendiri dah lama downgrade environment bukan kena tunggu sekolompok org yg benar jaga maru,tidak_diketahui
Exactly benda sama yang aku pikir. Dah kenapa buat majlis kahwin kira downgrade benda dituntut kot dalam agama. Lagipun itu boleh jadi income untuk ISTAC jugak. Jargon ni aneh-aneh ja.,sara,1,exactly benda sama aku pikir dah buat majlis kahwin kira downgrade benda tuntut kot agama lagi jadi income istac jugak jargon ni aneh aneh ja,diri_sendiri
@dapitnih Bodo amat sing penting gw anti pdip dan dinasti terlebih gw anti kaum penista agama sampai mati pun gw najis sebarisan sama mereka anies aja gw lepeh karna downgrade ,sara,1,bodo sing penting gw anti pdip dinasti lebih gw anti kaum nista agama mati gw najis baris sama anies aja gw lepeh karna downgrade,diri_sendiri
@meinmokhtar lelaki takde timbang rasa dekat wife. kalau kena kat aku tu mmg aku blaa je angkat kaki. dari aku mental trauma layan perangai bodo mcm tu. dia siapa nak downgrade aku sampai aku kena makan makanan yg dia da lempar ke lantai? da sah-sah kelak,penghinaan,1,lelaki takde timbang rasa dekat wife kalau kena kat aku tu mmg aku blaa je angkat kaki aku mental trauma layan perangai bodo mcm tu siapa nak downgrade aku aku kena makan makan yg da lempar lantai da sah sah kelak,diri_sendiri
Hurmmmmmm. Sebagai sorang Malaysian kan aku rasa kesal tgk cara dia comment. Yg mamat india tu pun satu. Duk diam je lah ni dah tau lagi nak bising. PU ni pun satu menunggang agama ke? Dalam Quran xpernah Allah nak suruh downgrade kaum lain.,sara,1,hurmmmmmm sorang malaysian kan aku rasa kesal tgk cara comment yg mamat india tu satu duk diam je lah ni dah tau nak bising pu ni satu tunggang agama quran xpernah allah nak suruh downgrade kaum,diri_sendiri
Struggle hidup di Inggris: 1) Yang jelas sih downgrade banget dalam mempraktekkan agama. Gak denger adzan gak mudah dapat akses ke Masjid yg ada women only sectionya. Jadi kemana-mana kalau mau keluar pasti harus jaga wudhu. https://t.co/2L1YfidmRU,bukan cyberbullying,0,struggle hidup inggris jelas sih downgrade banget praktek agama gak denger adzan gak mudah akses masjid yg women only sectionya jadi mana kalau mau keluar jaga wudhu,tidak_diketahui
@mage_niskala Sori kalo deity reinkarnasi jd manusia di itu berarti downgrade lg ya? Seharusnya mrk gak perlu bljr lg jd manusia kan? kec mgkn tugas dr atas Atau kek yg dibilang agama dharma kalo Karma habis jd manusia lg? Makasi udah jawab pertanyaan Sy ,sara,1,sori kalo deity reinkarnasi jd manusia arti downgrade lg mrk gak perlu bljr lg jd manusia kan kec mgkn tugas dr atas kek yg bilang agama dharma kalo karma habis jd manusia lg makas udah jawab tanya sy,tidak_diketahui
Jela. Sbb so far since start intern ni colleagues yg baik mostly chinese berbanding yg same race and agama ni. Sometimes aku rasa mcm di downgrade oleh bangsa sendiri sampai diri ni terpikir benda yg membuatkan aku was² dgn nak terusksn ke audit ni is bcoz of that particular,sara,1,jela sbb so far since start intern ni colleagues yg baik mostly chinese banding yg same race and agama ni sometimes aku rasa mcm downgrade bangsa sendiri diri ni pikir benda yg buat aku was dgn nak terusksn audit ni is bcoz of that particular,diri_sendiri
@lastweetX Betul saya berani jamin kok umat agama lain ga keberatan dengan hal itu mereka ga akan bilang mulai banyak narasi untuk downgrade agama kami . Karena ya memang harus dialui semua agama di indonesia disebarkan ga cuma lewat jalur damai tapi jalu,sara,1,betul saya berani jamin kok umat agama ga berat ga bilang mulai banyak narasi downgrade agama memang alu semua agama indonesia sebar ga cuma lewat jalur damai jalu,diri_sendiri
